CountryName,CountryCode,IndicatorName,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
St. Lucia,LCA,"International tourism, expenditures (current US$)",25000000,29000000,29000000,31000000,33000000,33000000,32000000,34000000,36000000,37000000,39000000,39000000,42000000,45000000,47000000,48000000,48000000,45000000,46000000,
Sri Lanka,LKA,"International tourism, expenditures (current US$)",279000000,267000000,280000000,326000000,341000000,383000000,402000000,438000000,462000000,499000000,552000000,666000000,709000000,777000000,735000000,828000000,926000000,1219000000,1808000000,1922000000
Lesotho,LSO,"International tourism, expenditures (current US$)",17000000,16000000,17000000,16000000,17000000,195000000,166000000,164000000,242000000,278000000,271000000,263000000,276000000,248000000,247000000,278000000,300000000,255000000,217000000,179000000
Lithuania,LTU,"International tourism, expenditures (current US$)",107000000,270000000,289000000,304000000,350000000,261000000,227000000,334000000,476000000,643000000,743000000,909000000,1144000000,1530000000,1119000000,849000000,859000000,925000000,1069000000,1058000000
Luxembourg,LUX,"International tourism, expenditures (current US$)",1193000000,1189000000,1115000000,1335000000,1316000000,1309000000,1464000000,1963000000,2445000000,2950000000,2959000000,3004000000,3410000000,3772000000,3594000000,3691000000,3638000000,3781000000,4023000000,3608000000
Latvia,LVA,"International tourism, expenditures (current US$)",62000000,407000000,379000000,355000000,321000000,281000000,255000000,267000000,365000000,428000000,655000000,788000000,1021000000,1139000000,798000000,648000000,765000000,680000000,900000000,908000000
"Macao, China",MAC,"International tourism, expenditures (current US$)",,,,,,,,512000000,471000000,529000000,615000000,648000000,777000000,902000000,983000000,1237000000,1474000000,1669000000,1807000000,1945000000
Morocco,MAR,"International tourism, expenditures (current US$)",356000000,353000000,363000000,496000000,578000000,506000000,589000000,669000000,845000000,912000000,999000000,1113000000,1418000000,1910000000,1713000000,1879000000,2260000000,2095000000,2002000000,
Moldova,MDA,"International tourism, expenditures (current US$)",73000000,77000000,75000000,73000000,69000000,86000000,90000000,109000000,118000000,135000000,170000000,224000000,290000000,359000000,307000000,298000000,349000000,396000000,434000000,453000000
Madagascar,MDG,"International tourism, expenditures (current US$)",79000000,89000000,101000000,140000000,133000000,139000000,179000000,192000000,67000000,108000000,93000000,103000000,117000000,168000000,136000000,129000000,180000000,136000000,161000000,
Maldives,MDV,"International tourism, expenditures (current US$)",41000000,48000000,51000000,55000000,58000000,60000000,59000000,60000000,60000000,75000000,94000000,106000000,152000000,211000000,212000000,252000000,231000000,207000000,246000000,279000000
Mexico,MEX,"International tourism, expenditures (current US$)",3587000000,3963000000,4554000000,4834000000,5192000000,6365000000,6685000000,7087000000,7252000000,8034000000,8951000000,9387000000,9918000000,10246000000,8737000000,9001000000,9704000000,10735000000,11970000000,12556000000
Marshall Islands,MHL,"International tourism, expenditures (current US$)",,,,,100000,200000,300000,300000,300000,400000,25500000,23100000,24300000,24500000,24550000,22020000,23780000,25520000,24700000,23800000
"Macedonia, FYR",MKD,"International tourism, expenditures (current US$)",27000000,30000000,33000000,39000000,42000000,58000000,60000000,60000000,71000000,85000000,97000000,110000000,147000000,190000000,150000000,131000000,159000000,153000000,168000000,186000000
Mali,MLI,"International tourism, expenditures (current US$)",74000000,69000000,65000000,67000000,65000000,66000000,65000000,62000000,94000000,125000000,133000000,196000000,201000000,228000000,191000000,167000000,171000000,164000000,189000000,
Malta,MLT,"International tourism, expenditures (current US$)",237000000,244000000,216000000,221000000,231000000,224000000,204000000,180000000,238000000,291000000,311000000,362000000,284000000,307000000,291000000,309000000,333000000,339000000,384000000,397000000
Myanmar,MMR,"International tourism, expenditures (current US$)",18000000,28000000,38000000,31000000,26000000,30000000,32000000,34000000,36000000,32000000,34000000,40000000,39000000,49700000,52000000,53000000,132000000,265000000,131000000,137000000
Mongolia,MNG,"International tourism, expenditures (current US$)",22000000,37000000,19000000,50000000,45000000,54000000,59000000,125000000,144000000,207000000,173000000,212000000,227000000,249000000,242000000,319000000,404000000,420000000,458000000,557000000
Mozambique,MOZ,"International tourism, expenditures (current US$)",,68000000,82000000,97000000,140000000,122000000,132000000,115000000,141000000,140000000,187000000,196000000,209000000,241000000,247000000,247000000,264000000,248000000,313000000,331000000
Mauritania,MRT,"International tourism, expenditures (current US$)",30000000,41000000,53000000,47000000,55000000,,,,,,,,,,,,,101000000,105000000,112000000
Mauritius,MUS,"International tourism, expenditures (current US$)",184000000,205000000,194000000,203000000,210000000,203000000,216000000,223000000,236000000,277000000,295000000,347000000,384000000,489000000,384000000,423000000,427000000,394000000,458000000,503000000
Malawi,MWI,"International tourism, expenditures (current US$)",53000000,64000000,81000000,49000000,52000000,53000000,52000000,86000000,70000000,70000000,84000000,85000000,79000000,86000000,91000000,90000000,92000000,96000000,90000000,106000000
Malaysia,MYS,"International tourism, expenditures (current US$)",2722000000,3032000000,3158000000,2160000000,2382000000,2543000000,3391000000,3330000000,3401000000,3822000000,4339000000,5085000000,6600000000,7724000000,7196000000,8324000000,10180000000,12217000000,12236000000,12369000000
Namibia,NAM,"International tourism, expenditures (current US$)",90000000,89000000,99000000,88000000,89000000,86000000,71000000,65000000,101000000,123000000,108000000,118000000,132000000,114000000,121000000,146000000,207000000,154000000,124000000,150000000
New Caledonia,NCL,"International tourism, expenditures (current US$)",,,,,,,,104000000,128000000,167000000,122000000,129000000,149000000,168000000,170000000,179000000,176000000,159000000,164000000,
Niger,NER,"International tourism, expenditures (current US$)",26000000,59000000,50000000,39000000,35000000,32000000,33000000,29000000,39000000,42000000,42000000,42000000,48000000,98000000,84000000,95000000,57000000,132000000,81000000,
